be,mal
Alt Camp,Alt Camp
Alt Empordà,Alt Emporda
Alt Penedès,Alt Penedes
Alt Urgell,Alt Urgell
Alta Ribagorça,Alta Ribagorca
Anoia,Anoia
Bages,Bages
Baix Camp,Baix Camp
Baix Ebre,Baix Ebre
Baix Empordà,Baix Emporda
Baix Llobregat,Baix Llobregat
Baix Penedès,Baix Penedes
Barcelonès,Barcelones
Berguedà,Bergueda
Cerdanya,Cerdanya
Conca de Barberà,Conca de Barbera
Garraf,Garraf
Garrigues,Garrigues
Garrotxa,Garrotxa
Gironès,Girones
Maresme,Maresme
Montsià,Monstia
Noguera,Noguera
Osona,Osona
Pallars Jussà,Pallars Jussa
Pallars Sobirà,Pallars Sobira
Pla d'Urgell,Pla d'Urgell
Pla de l'Estany,Pla de l'Estany
Priorat,Priorat
Ribera d'Ebre,Ribera d'Ebre
Ripollès,Ripolles
Segarra,Segarra
Segrià,Segria
Selva,Selva
Solsonès,Solsones
Tarragonès,Tarragones
Terra Alta,Terra Alta
Urgell,Urgell
Val d'Aran,Val d'Aran
Vallès Occidental,Valles Occidental
Vallès Oriental,Valles Oriental
Moianès,Moianès
Lluçanè,
